scenario,year,market_share,som_eur
conservative,1,0.0002371293658878339,191902.8556180716
conservative,2,0.0007092553245024391,573982.5669618729
conservative,3,0.0017717184688710228,1433807.3745301175
conservative,4,0.003228281531128977,2612567.3732698825
conservative,5,0.0042907446754975615,3472392.180838128
base,1,0.0007113880976635017,575708.5668542148
base,2,0.002736382857095345,2214486.098652684
base,3,0.0075,6069562.1217
base,4,0.012263617142904654,9924638.144747317
base,5,0.0142886119023365,11563415.676545788
aggressive,1,0.0018892006817098944,1528882.7863994925
aggressive,2,0.00867151492124988,7017639.800503285
aggressive,3,0.021328485078750115,17260608.686296713
aggressive,4,0.028110799318290105,22749365.70040051
aggressive,5,0.0296703917210822,24011504.76350424
